Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,Class,CoinName
Scrypt,PoW/PoS,29315567169.0,0.0,0.02214347480359488,1.0275805507303244,-0.6039727078264796,0,Reddcoin
Scrypt,PoW,1104157.422,21000000.0,-0.16774887109741854,-1.151741613036445,-0.06815271310275234,1,RonPaulCoin
Scrypt,PoW,24215181.73,250000000.0,-0.1658423133643861,-1.151859223432364,-0.06818094986239369,1,StableCoin
Scrypt,PoW,25593737.14,51200000.0,-0.1672353392608602,-1.1517505377564088,-0.06816503070350166,1,SmartCoin
X11,PoS,50707661.75,0.0,-0.3492100493529599,1.01562184457638,-0.12385748013348749,0,SuperCoin
X11,PoW/PoS,1177.0,1000.0,-0.3992153431966893,1.239480141427591,-0.4779639817524432,0,SyncCoin
SHA-256,PoW,563336541.3,888000000.0,-0.13018595390096124,-1.2674951381802662,0.20319368617432465,1,SysCoin
Multiple,PoS,80260463.73,100000000.0,-0.24175399563511626,0.14287258371291964,0.17105602706329068,0,TeslaCoin
SHA-256,PoW,43536800.0,47011968.0,-0.1425041079239851,-1.267196801606667,0.2034717011514769,1,TigerCoin
PHI1612,PoS,1622326490.0,2300000000.0,-0.2966901447351108,1.5443768175072936,-0.051561091971134954,0,TittieCoin
X11,PoW/PoS,1431851.0,10000000.0,-0.3991269426689241,1.239475135591034,-0.4779653836355811,0,TorCoin
SHA-256,PoW,22935396.0,42000000.0,-0.1427914796048389,-1.2672003995686743,0.20348037341303388,1,TerraCoin
SHA-256,PoW,2278150.0,80000000.0,-0.14277449572221754,-1.267227438089795,0.2034855042762717,1,UnbreakableCoin
SHA-256,PoW,200911.7915,250000.0,-0.143365469403839,-1.2671846459149765,0.20349294455724048,1,Unobtanium
X11,PoW,1207310.0,0.0,-0.2309082089828287,-0.9308267722777431,0.046108104632185266,1,UroCoin
Scrypt,PoW/PoS,1098952593.0,1600000000.0,-0.311423237957881,1.0180429672799867,-0.5927961266747009,0,UnitaryStatus Dollar
Scrypt,PoW/PoS,50235211.14,100000000.0,-0.3348804384706641,1.0185377397020576,-0.5922515200129981,0,UltraCoin
Scrypt,PoW,23150892.17,23000000.0,-0.16746519269225144,-1.1517359309113968,-0.0681617150911104,1,ViaCoin
Scrypt,PoST,32021108.41,0.0,-0.3074790688279508,0.42971590713488195,-0.5934603832094091,0,VeriCoin
Lyra2REv2,PoW,51173723.82,84000000.0,-0.19761023081273887,-1.3020377358612119,0.17796115842132573,1,Vertcoin
Scrypt,PoW,119606941.0,265420800.0,-0.16456690172878666,-1.151838323303883,-0.06822046034450616,1,WorldCoin
X11,PoW/PoS,6950831.097,5500000.0,-0.399091393562511,1.2394792812575286,-0.4779672227793744,0,X11 Coin
Multiple,PoS,100000000.0,0.0,-0.24222189749287845,0.14293310426383912,0.17105640105908682,0,Crypti
SHA-256,PoW,39195739.36,45000000.0,-0.14257144086327525,-1.2671970392150043,0.2034736077406352,1,JouleCoin
X13,PoW/PoS,33093725.41,0.0,-0.2711833994444111,1.8619658005267543,-0.5397760268754775,0,StealthCoin
Scrypt,PoW/PoS,147990238.0,1000000000.0,-0.3273027588708178,1.0180776425424911,-0.5923652699705759,0,ZCC Coin
CryptoNight,PoW,184067000000.0,184467000000.0,3.859425363600495,-2.368264336617532,0.2863001110713485,1,ByteCoin
CryptoNight,PoW,6906587610.0,10000000000.0,0.4565457267297538,-2.327665130735677,0.37176112719609894,1,DigitalNote 
Shabal256,PoC,1813033920.0,2158812800.0,-0.00665893785408625,0.31563316289176685,-0.03161808345832773,0,BurstCoin
Counterparty,PoS,51173144.0,500000000.0,-0.3264328328087277,1.5767189444108038,0.04668012353708565,0,StorjCoin
Scrypt,PoW,68194674.87,105120000.0,-0.1663321973457227,-1.151766817288597,-0.0681865726254905,1,MonaCoin
SHA-256,PoW/PoS,39121694.0,68000000.0,-0.310701629224633,0.903097697422923,-0.32060083797641503,0,Neutron
Groestl,PoW/PoS,53193831.0,0.0,-0.37005703641078735,0.9031417639452515,-0.4261375488350873,0,FairCoin
Scrypt,PoW,415032420.0,1680000000.0,-0.15092357791947986,-1.1525179382681845,-0.06845607187047863,1,Gulden
Scrypt,PoS,27184490.39,0.0,-0.2864859234021681,0.7947112469098003,-0.23810717121600908,0,RubyCoin
Scrypt,PoW,137517654.4,166386000.0,-0.1650503135854184,-1.1517788900725732,-0.06821943333314671,1,PesetaCoin
X13,PoW/PoS,2022464.887,12000000.0,-0.2714781045896307,1.8619497225668782,-0.5397645678567953,0,Kore
Scrypt,PoW,181919.2436,2628000.0,-0.16789043740320764,-1.1517318912836665,-0.06815082125004504,1,Wild Beast Coin
Scrypt,PoS,174646113.9,500000000.0,-0.2811374158534656,0.7944842478341464,-0.23820770124144086,0,Dnotes
Scrypt,PoW,152270664.9,160000000.0,-0.16491526507565896,-1.1517708812536582,-0.0682248171881677,1,Flo
Scrypt,PoW/PoS,1467841.0,0.0,-0.3361857539792959,1.0185772195120613,-0.592223688616912,0,8BIT Coin
X13,PoW/PoS,7096834.0,10000000.0,-0.2714302604696974,1.861952370231476,-0.5397664359404347,0,Sativa Coin
Scrypt,PoW,792537250.0,1000000000.0,-0.1511315573925701,-1.1520316804065578,-0.0685510331173261,1,ArtByte
Stanford Folding,PoW,719416990.0,1000000000.0,-0.13512759536733848,-2.258072775640951,0.42108036295784185,1,Folding Coin
X11,PoS,2689812.0,20000000.0,-0.3496551704550704,1.0155962051266105,-0.12383989180763735,0,Ucoin
Multiple,PoW,65113302.0,0.0,-0.12374142297064986,-1.8035110242529966,0.341016128708132,1,Unitus
QuBit,PoW,6365285.0,0.0,-0.191112832800872,-1.56985637062879,0.1655311993914111,1,CypherPunkCoin
Scrypt,PoW,10140044.44,3371337.0,-0.167763439729097,-1.1517292376190695,-0.06815487403181811,1,OmniCron
Scrypt,PoW/PoS,11604722.0,20000000.0,-0.3359200041934232,1.0185694413070452,-0.5922294085647047,0,Vtorrent
Scrypt,PoW,4610340641.0,10000000000.0,-0.04063611970874845,-1.1557603161573287,-0.0708268991877296,1,GreenCoin
M7 POW,PoW,708506520.0,1840000000.0,-0.14159598701224632,-2.2006022470160387,0.3060279745286432,1,Cryptonite
Scrypt,PoW,619478.0,619478.0,-0.16789933309066107,-1.151730663096268,-0.06815083020535632,1,MasterCoin
SHA-256,PoW,12462620.0,21000000.0,-0.14306842723568214,-1.2671921799492902,0.20348631084225563,1,SoonCoin
Scrypt,PoW,88213.0,92000000000.0,0.4845479765671541,-1.2018317433562085,-0.07577327524519491,1,1Credit
X11,PoW/PoS,1513704.0,0.0,-0.39919686148474504,1.239480606519329,-0.4779645878867049,0,IslaCoin
SHA3,PoW/nPoS,63657220.0,78000000.0,-0.3741382443101683,2.1983149349719904,-0.2949678012568964,0,Nexus
X11,PoW,32221574.82,33000000.0,-0.23029506337920333,-0.9308352178715054,0.04609293995812866,1,MarsCoin 
Lyra2RE,PoW,13742738.0,65789100.0,-0.15761780416600724,-2.1658139786379094,0.3686265256673486,1,Crypto
SHA-256,PoW,14747200.0,53760000.0,-0.14280816916878117,-1.2672093186822868,0.20348268084083315,1,Anarchists Prime
QUAIT,PoW/PoS,8568038.359,5060000.0,-0.44014550309982453,1.9720917557489732,-0.772889634553649,0,Droidz
X11,PoW,15863837.5,21000000.0,-0.23058012007584938,-0.9308337069284138,0.04610049036561013,1,BowsCoin
X11,PoS/PoW,329200.0164,0.0,-0.3364003005174627,1.084671575112423,0.18574440444020743,0,Squall Coin
Scrypt,PoW,32565300.0,210240000.0,-0.16602221873141035,-1.151835006379182,-0.06818100223323897,1,Song Coin
Scrypt,PoW,75614500.0,250000000.0,-0.16521401918179596,-1.1518434369986208,-0.06820155058326015,1,BitZeny
Scrypt,PoS,100000000.0,100000000.0,-0.2848866486224868,0.7946791530802566,-0.238144641047492,0,Diggits
Ethash,PoW,10495278.0,16906397.0,-0.1361070216022681,-1.9748129372211858,0.4269331079934441,1,Expanse
X13,PoW/PoS,23042604.0,50000000.0,-0.27095166533885584,1.8619354845516949,-0.5397761411874269,0,Paycon
Blake2b,PoW,33098296530.0,0.0,0.3722102067770537,-2.194027701413629,0.30501388924092654,1,Siacoin
SHA-256,PoW/PoS,43059794.8,1000000000.0,-0.30404380551633514,0.9025913594534801,-0.3206796377169673,0,Emercoin
X15,PoW/PoS,13530556.42,26298000.0,-0.24209033558309895,1.840117259058722,-0.631809772812405,0,EverGreenCoin
X11,PoW,15867695.0,16000000.0,-0.23061553260722212,-0.9308309828493841,0.046100903097212716,1,MindCoin
SHA-256,PoW,20997476.87,21000000.0,-0.14296409898579174,-1.2671895586119448,0.20348289009252704,1,I0coin
BLAKE256,PoW/PoS,10365046.93,21000000.0,-0.07501382005457019,1.0006608779702804,-0.41540775864033974,0,Decred
Scrypt,PoW,210000000.0,210000000.0,-0.16385499728615774,-1.1517803796046369,-0.06825209774106694,1,Revolution VR
1GB AES Pattern Search,PoW,11448949.0,81962100.0,-0.15554055287813495,-2.301544251684376,0.2998417205896048,1,HOdlcoin
SHA-256,PoW/PoS,3669691.845,22000000.0,-0.3114612159524852,0.9031118595655917,-0.3205828175461381,0,EDRCoin
X11,PoW/PoS,10996318099.0,26550000000.0,-0.07650781818396485,1.2283989067205183,-0.4845710930342631,0,Hitcoin
Scrypt,PoW,69836100.0,84000000.0,-0.16646191462673557,-1.1517548116471832,-0.06818548059574533,1,Gamecredits
SHA-256,PoW/PoS,5129014.0,10500000.0,-0.31152493478778437,0.9031185704285858,-0.3205824496002213,0,DubaiCoin
SHA-256,PoW,21739971929.0,21626280000.0,0.27574724414521684,-1.2722847204994143,0.1929878612786879,1,CarpeDiemCoin
NIST5,PoW/PoS,10069449032.0,0.0,-0.24014295290854223,1.583205661381502,-0.58031009433403,0,PWR Coin
Scrypt,PoW/PoS,8998743.241,42000000.0,-0.3357958365034777,1.0185566601898615,-0.5922301869165892,0,BillaryCoin
Scrypt,PoS,40477042.0,221052632.0,-0.28475574679467286,0.7945949489041307,-0.23813081427240806,0,GPU Coin
X11,PoW,45110324.0,84000000.0,-0.22977582530547175,-0.9308590328310535,0.046083548546698896,1,Adzcoin
Dagger,PoW,5702048.0,30000000.0,-0.16539757141873426,-2.202106372886994,0.3111832679847416,1,SoilCoin
Scrypt,PoW,636462.5598,168351300.0,-0.1667095819732612,-1.1518220010829272,-0.06816473452271446,1,YoCoin
X11GOST,PoW,17263355.0,24000000.0,-0.16480852367457116,-2.241078506008049,0.2687974782329719,1,SibCoin
X11,PoW/PoS,10407269.79,384000000.0,-0.39636484467548094,1.2392742197486448,-0.47799996893184965,0,EuropeCoin
Scrypt,PoS,36971236047.0,99000000000.0,0.8672119515665139,0.7521446828596912,-0.2611169546377915,0,ZeitCoin
SHA-256,PoW/PoS,4377081.61,40000000.0,-0.31132491410790664,0.90310227440908,-0.3205845924658681,0,SwingCoin
Scrypt,PoC,2147483647.0,2147483647.0,-0.07072210928020584,0.22374349426658197,-0.29645241753563584,0,SafeExchangeCoin
PoS,PoS,20000000.0,20000000.0,-0.36554936992209247,1.5064872978237946,-0.03397438546910203,0,Nebuchadnezzar
Scrypt,PoW,6570807.657,20000000.0,-0.16768913988071904,-1.1517393894681691,-0.06815482126724103,1,Francs
X11,PoW,13654082.5,25000000.0,-0.23057876389675278,-0.9308365639328045,0.04610104460785845,1,BolivarCoin
X11,PoW/PoS,134554941.2,75000000.0,-0.39703869882141063,1.239480624477608,-0.47802412465389477,0,Ratecoin
SHA-256,PoW/PoS,1195525.0,222725000.0,-0.31006793059535176,0.9030017890767712,-0.3205984570835571,0,Revenu
SHA-256,PoW/PoS,16662820.0,525000000.0,-0.3077351464829379,0.9028419270228796,-0.3206297014946022,0,Clockcoin
NIST5,PoW/PoS,83450403.0,90000000.0,-0.36157137240797566,1.5800896182224722,-0.5763151875411638,0,VIP Tokens
